affiliation	freq	formatted_address	locality	admin_district	country	lat	lng
 a  Institute of Ecology , Akademijos 2,  2600 ,  Vilnius ,  Lithuania	171	Akademijos gatvė 2, LT-08412 Vilnius, Lithuania	Vilnius	Vilniaus	Lithuania	54.75288	25.26308
 a  Institute of Geography , Moscow	187	Moscow City	N/A	Moscow City	Russia	55.73832321166992	37.58697509765625
#N#            *Steadman Philippon Research Institute, Vail, Colorado, USA	100	Vail, CO	Vail	CO	United States	39.64529037475586	-106.38619232177734
#N#        34, Myddelton Square, Clerkenwell	129	Clerkenwell, London, London, United Kingdom	London	England	United Kingdom	51.526039123535156	-0.10347499698400497
#N#        71, Brecknock Road	660	71 Brecknock Road, London, N19 5, United Kingdom	London	England	United Kingdom	51.5529515	-0.1337147
#N#        Bath	159	Bath, Bath and North East Somerset, United Kingdom	Bath	England	United Kingdom	51.38502883911133	-2.3613200187683105
#N#        Beaconsfield	120	Beaconsfield, Buckinghamshire, United Kingdom	Beaconsfield	England	United Kingdom	51.61185836791992	-0.6469900012016296
#N#        Birmingham	408	Birmingham, West Midlands, United Kingdom	Birmingham	England	United Kingdom	52.47890853881836	-1.9059200286865234
#N#        Blackheath	308	Blackheath, United Kingdom	London	England	United Kingdom	51.46860122680664	0.0016400000313296914
#N#        Bottesford Manor, Brigg	169	Brigg, North Lincolnshire, United Kingdom	Brigg	England	United Kingdom	53.552978515625	-0.4848400056362152
