affiliation	freq	formatted_address	locality	admin_district	country	lat	lng
 a  Institute of Ecology , Akademijos 2,  2600 ,  Vilnius ,  Lithuania	171	N/A	N/A	N/A	N/A	N/A	N/A
 a  Institute of Geography , Moscow	187	N/A	N/A	N/A	N/A	N/A	N/A
#N#            *Steadman Philippon Research Institute, Vail, Colorado, USA	100	N/A	N/A	N/A	N/A	N/A	N/A
#N#        34, Myddelton Square, Clerkenwell	129	N/A	N/A	N/A	N/A	N/A	N/A
#N#        71, Brecknock Road	660	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Bath	159	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Beaconsfield	120	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Birmingham	408	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Blackheath	308	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Bottesford Manor, Brigg	169	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Brighton	172	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Cambridge	422	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Dublin	363	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Edinburgh	118	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Fair Park, Exeter	175	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Glasgow	156	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Guernsey	117	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Hampstead, N.W.	118	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Helensburgh, N.B.	124	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Lancaster	178	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Leigh, Lancashire	100	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Lichfield	107	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Long Itchington, Warwickshire	147	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Manchester	194	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Mayfair	117	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Newbourne Rectory, Woodbridge	667	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Newcastle-upon-Tyne	117	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Oxford	627	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Philadelphia	263	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Portland, Oregon	107	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Sandgate	125	N/A	N/A	N/A	N/A	N/A	N/A
#N#        Spennymoor	309	N/A	N/A	N/A	N/A	N/A	N/A
#N#        St. Stephen's Rectory, C.-on-M., Manchester	107	N/A	N/A	N/A	N/A	N/A	N/A
